row_id,title,pipeline,action,classification,confidence,reason,old_relative_path,new_relative_path,size_bytes,sha256_before,sha256_after,checksum_match
paper-2020-12,Walking And Talking: The Effect Of Smartphone Use And Group Conversation On Pedestrian Speed,UPLOADED,moved,data,high,data suffix,DATA_DICTIONARY.csv,data/DATA_DICTIONARY.csv,2758,533affebc49c6c0f0cf8c5e6655a02ba0849160e1479bd9f915f46ee2194269d,533affebc49c6c0f0cf8c5e6655a02ba0849160e1479bd9f915f46ee2194269d,yes
paper-2020-12,Walking And Talking: The Effect Of Smartphone Use And Group Conversation On Pedestrian Speed,UPLOADED,moved,documentation,medium,documentation suffix,PUBLIC_EXTRACT_NOTES.md,documentation/PUBLIC_EXTRACT_NOTES.md,1420,625752b28a35e3fa4da64c730c35902e1d2b44a4351ceb2bc9795e5ec08fb658,625752b28a35e3fa4da64c730c35902e1d2b44a4351ceb2bc9795e5ec08fb658,yes
