record_id,site,observation_dates,collection_windows,source_sheet,time_taken_to_cross_s,steps_taken_for_cross,time_for_six_steps_s,people_entered_zone_count,people_exited_zone_count,people_in_zone_count,stopped,direction_code,with_phone,earphones,following_phone_user_or_headway,speed_difference_from_followed_phone_user,gender_recorded_code,walking_alone,backpack,carrying_one_hand,carrying_both_hands,heavy_weight,paper_category_code,speed_mps,speed_uniform_step_length_mps
bay_street_001,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.79,7,3.16,5,0,5,0,0,1,0,0,,1,1,0,1,1,0,3,1.2506596306068603,1.2985974683544304
bay_street_002,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.51,7,3.23,6,0,6,0,1,0,0,0,,0,1,1,0,0,0,1,1.3504273504273505,1.318019814241486
bay_street_003,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.08,6,3.22,7,0,7,0,1,0,0,0,,1,1,1,0,0,0,1,1.538961038961039,1.4283130434782607
bay_street_004,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,4.4,8,3.35,8,3,5,0,0,0,0,6.9,-0.1733869033341331,0,1,1,0,0,0,1,1.0772727272727272,1.1228668656716418
bay_street_005,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.3,6,3.29,9,3,6,0,0,0,0,9.3,0.18570400575677626,1,1,1,0,0,0,1,1.4363636363636365,1.397923404255319
bay_street_006,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.45,7,3.3,10,5,5,0,0,0,0,0,,0,1,1,1,1,0,1,1.373913043478261,1.2149709090909093
bay_street_007,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.52,7,2.98,11,5,6,0,0,0,0,0,,1,1,1,1,0,1,1,1.3465909090909092,1.4601906040268453
bay_street_008,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.75,8,2.83,12,5,7,0,1,0,0,0,,0,1,0,0,0,0,1,1.264,1.3291886925795056
bay_street_009,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.73,7,3.31,13,5,8,0,0,0,0,0,,0,1,1,1,1,0,1,1.2707774798927614,1.2113003021148039
bay_street_010,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.49,6,3.51,14,6,8,0,0,0,0,0,,1,2,1,1,1,0,1,1.3581661891117478,1.3103042735042736
bay_street_011,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.05,7,2.96,15,7,8,0,0,0,0,0,,0,2,0,0,0,0,1,1.554098360655738,1.4382445945945945
bay_street_012,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.42,6,3.15,17,11,6,0,0,0,0,0,,0,3,0,1,0,0,1,1.3859649122807018,1.3514933333333332
bay_street_013,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,5.68,11,3.61,18,11,7,0,0,0,0,0,,0,4,0,1,0,0,1,0.8345070422535212,1.0419955678670363
bay_street_014,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,5.29,11,3.1,19,11,8,0,0,0,0,0,,1,4,0,1,0,0,1,0.8960302457466919,1.3237316129032257
bay_street_015,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.06,6,3.04,20,11,9,0,0,0,0,0,,1,1,1,1,1,0,1,1.5490196078431373,1.5128842105263156
bay_street_016,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,5.77,10,3.74,21,11,10,0,0,0,0,0,,0,1,0,1,1,0,1,0.8214904679376084,1.072033155080214
bay_street_017,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,5.68,8,4.13,22,14,8,0,0,1,0,0,,0,1,0,1,0,0,3,0.8345070422535212,0.9108000000000002
bay_street_018,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.67,6,3.07,23,14,9,0,0,0,0,0.19999999999999574,0.4570460912614651,0,1,1,1,1,0,2,1.2915531335149864,1.305994788273616
bay_street_019,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.05,6,2.81,24,19,5,0,0,0,0,0,,1,1,1,0,0,0,1,1.554098360655738,1.5485295373665477
bay_street_020,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.41,7,2.97,25,20,5,0,1,0,0,0,,0,1,1,0,0,0,1,1.3900293255131966,1.349967676767677
bay_street_021,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.48,6,3.38,26,20,6,0,0,0,0,0,,1,1,0,1,0,0,1,1.3620689655172415,1.3607005917159762
bay_street_022,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.5,8,2.63,27,20,7,0,1,0,0,0,,0,1,0,1,0,0,1,1.3542857142857143,1.4302676806083654
bay_street_023,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.61,7,3.02,28,20,8,0,1,0,0,0,,1,1,0,0,0,0,1,1.3130193905817176,1.3587973509933775
bay_street_024,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.42,7,3.04,29,20,9,0,0,0,0,0,,0,1,0,1,0,0,1,1.3859649122807018,1.3188828947368423
bay_street_025,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.68,7,3.17,30,20,10,0,1,0,0,0,,0,1,1,0,0,0,1,1.2880434782608696,1.2647962145110414
bay_street_026,"Bay Street, Ultimo, NSW",2018-05-01; 2018-06-13,16:42-16:55; 11:11-11:28; 16:22-16:38,Useful data,3.92,7,3.13,31,22,9,0,1,0,0,0,,0,1,0,1,0,0,1,1.209183673469388,1.280959744408946
