record_id,site,observation_date,collection_window,source_sheet,seconds_elapsed,speed_mps,walking_direction,distance_m,in_group,using_phone,texting,calling,holding_phone,gender_recorded,overtaken,overtakes,phone_follower,phone_follower_2,phone_follower_3,text_follower,group_follower
city_road_136,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,20.999999999998487,1.1428571428572252,away,24,N,N,N,N,Y,F,,,,N,,,
city_road_137,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,20.000000000001528,1.1999999999999083,away,24,N,N,N,N,Y,M,,,,N,,,
city_road_138,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,12.999999999998835,1.3846153846155087,towards,18,N,N,N,N,N,M,,,Y,Y,N,,
city_road_139,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,23.000000000001997,1.0434782608694746,away,24,N,N,N,N,N,F,,,,N,,,
city_road_140,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,142.0000000000046,0.16901408450703678,away,24,Y,Y,N,Y,Y,M,,,,N,,,
city_road_141,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,142.0000000000046,0.16901408450703678,away,24,Y,N,N,N,N,M,,,,N,,,
city_road_142,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,142.0000000000046,0.16901408450703678,away,24,Y,N,N,N,N,F,,,,N,,,
city_road_143,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,23.000000000001997,1.0434782608694746,away,24,N,N,N,N,N,F,,,,N,,,
city_road_144,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.000000000007141,1.5999999999992383,away,24,N,Y,Y,N,Y,M,,,,N,,,
city_road_145,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,20.000000000006324,0.8999999999997155,towards,18,Y,N,N,N,N,M,Y,,Y,N,N,,
city_road_146,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,20.999999999998487,1.1428571428572252,away,24,N,N,N,N,Y,F,,,,N,,,
city_road_147,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,12.999999999998835,1.3846153846155087,towards,18,Y,N,N,N,N,F,,,Y,N,N,,
city_road_148,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,252.00000000000102,0.07142857142857113,towards,18,Y,N,N,N,Y,F,,,Y,Y,N,,
city_road_149,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.000000000002345,1.1999999999998123,towards,18,Y,N,N,N,N,F,Y,,Y,N,N,,
city_road_150,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,11.00000000000012,1.6363636363636185,towards,18,N,N,N,N,N,M,,146 and 150,Y,Y,N,,
